"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 14 23:44:28 GMT 2023","Sat Jan 14 23:44:29 GMT 2023","858","","specs.ui-testing-playground/visibility.buttons.test.ts","","","","must determine hidden buttons",""
"passed","Sat Jan 14 23:44:25 GMT 2023","Sat Jan 14 23:44:26 GMT 2023","704","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","description",""
"passed","Sat Jan 14 23:44:23 GMT 2023","Sat Jan 14 23:44:24 GMT 2023","1021","","sample-app/functional/negative.cases/password.empty.test.ts","","","","demonstrate error when password is empty",""
"passed","Sat Jan 14 23:44:22 GMT 2023","Sat Jan 14 23:44:23 GMT 2023","1338","","sample-app/functional/negative.cases/all.fields.empty.test.ts","","","","demonstration warning when all fields are empty",""
"passed","Sat Jan 14 23:44:27 GMT 2023","Sat Jan 14 23:44:27 GMT 2023","599","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""Password""] input",""
"passed","Sat Jan 14 23:44:27 GMT 2023","Sat Jan 14 23:44:27 GMT 2023","795","","specs.ui-testing-playground/click.count.test.ts","","","","click count increased",""
"passed","Sat Jan 14 23:44:26 GMT 2023","Sat Jan 14 23:44:27 GMT 2023","817","","specs.ui-testing-playground/check.click.test.ts","","","","it is able to click the addToCart",""
"failed","Sat Jan 14 23:44:29 GMT 2023","Sat Jan 14 23:44:30 GMT 2023","1142","","specs.ui-testing-playground/wait.for.ajax.test.ts","","","","waiting for an element to show up after AJAX",""
"passed","Sat Jan 14 23:44:27 GMT 2023","Sat Jan 14 23:44:28 GMT 2023","630","","specs.ui-testing-playground/find.text.out.of.tags.test.ts","","","","find an element with Welcome text",""
"passed","Sat Jan 14 23:44:28 GMT 2023","Sat Jan 14 23:44:29 GMT 2023","856","","specs.ui-testing-playground/scroll.to.button.test.ts","","","","the addToCart name is changing",""
"passed","Sat Jan 14 23:44:21 GMT 2023","Sat Jan 14 23:44:23 GMT 2023","1575","","sample-app/functional/login.positive.test.ts","","","","login with correct login and password",""
"passed","Sat Jan 14 23:44:27 GMT 2023","Sat Jan 14 23:44:28 GMT 2023","743","","specs.ui-testing-playground/find.column.after.reload.test.ts","","","","value of cpu in table that each reload renders equals to text",""
"passed","Sat Jan 14 23:44:26 GMT 2023","Sat Jan 14 23:44:26 GMT 2023","593","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","login status",""
"passed","Sat Jan 14 23:44:29 GMT 2023","Sat Jan 14 23:44:35 GMT 2023","6195","","specs.ui-testing-playground/wait.for.load.page.test.ts","","","","waiting for a page to load",""
"passed","Sat Jan 14 23:44:26 GMT 2023","Sat Jan 14 23:44:27 GMT 2023","604","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""UserName""] input",""
"passed","Sat Jan 14 23:44:25 GMT 2023","Sat Jan 14 23:44:26 GMT 2023","873","","specs.ui-testing-playground/check.button.innerText.test.ts","","","","the addToCart name is changing",""
"passed","Sat Jan 14 23:44:24 GMT 2023","Sat Jan 14 23:44:25 GMT 2023","786","","sample-app/functional/negative.cases/username.empty.test.ts","","","","demonstrate error when login is empty",""
"passed","Sat Jan 14 23:44:24 GMT 2023","Sat Jan 14 23:44:25 GMT 2023","713","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","h3 tag",""
"passed","Sat Jan 14 23:44:23 GMT 2023","Sat Jan 14 23:44:24 GMT 2023","1040","","sample-app/functional/negative.cases/incorrect.password.case.test.ts","","","","demonstrating error when password is incorrect, login correct",""
