"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 23 22:49:21 EEST 2021","Thu Sep 23 22:49:28 EEST 2021","6660","","specs/check.button.innerText.test.ts","","","","the button name is changing",""
"passed","Thu Sep 23 22:49:22 EEST 2021","Thu Sep 23 22:49:27 EEST 2021","5654","","specs/check.click.test.ts","","","","it is able to click the button",""
"passed","Thu Sep 23 22:49:37 EEST 2021","Thu Sep 23 22:49:46 EEST 2021","8971","","specs/wait.for.load.page.test.ts","","","","waiting for a page to load",""
"passed","Thu Sep 23 22:49:39 EEST 2021","Thu Sep 23 22:49:41 EEST 2021","1764","","specs/sample-app/ui/all.elements.visible.test.ts","On page is visible:","","","login status",""
"passed","Thu Sep 23 22:49:34 EEST 2021","Thu Sep 23 22:49:37 EEST 2021","2273","","specs/scroll.to.button.test.ts","","","","the button name is changing",""
"passed","Thu Sep 23 22:49:31 EEST 2021","Thu Sep 23 22:49:34 EEST 2021","3401","","specs/sample-app/functional/negative.cases/incorrect.password.case.test.ts","","","","demonstrating error when password is incorrect, login correct",""
"passed","Thu Sep 23 22:49:32 EEST 2021","Thu Sep 23 22:49:35 EEST 2021","3386","","specs/sample-app/functional/negative.cases/password.empty.test.ts","","","","demonstrate error when password is empty",""
"passed","Thu Sep 23 22:49:27 EEST 2021","Thu Sep 23 22:49:32 EEST 2021","5872","","specs/find.column.after.reload.test.ts","","","","value of cpu in table that each reload renders equals to text",""
"passed","Thu Sep 23 22:49:23 EEST 2021","Thu Sep 23 22:49:31 EEST 2021","7572","","specs/click.count.test.ts","","","","click count increased",""
"passed","Thu Sep 23 22:49:35 EEST 2021","Thu Sep 23 22:49:54 EEST 2021","19005","","specs/wait.for.ajax.test.ts","","","","waiting for an element to show up after AJAX",""
"passed","Thu Sep 23 22:49:31 EEST 2021","Thu Sep 23 22:49:33 EEST 2021","2571","","specs/sample-app/functional/negative.cases/all.fields.empty.test.ts","","","","demonstration warning when all fields are empty",""
"passed","Thu Sep 23 22:49:33 EEST 2021","Thu Sep 23 22:49:35 EEST 2021","2916","","specs/sample-app/functional/negative.cases/username.empty.test.ts","","","","demonstrate error when login is empty",""
"passed","Thu Sep 23 22:49:28 EEST 2021","Thu Sep 23 22:49:32 EEST 2021","3876","","specs/sample-app/functional/login.positive.test.ts","","","","login with correct login and password",""
"passed","Thu Sep 23 22:49:33 EEST 2021","Thu Sep 23 22:49:36 EEST 2021","2555","","specs/sample-app/ui/all.elements.visible.test.ts","On page is visible:","","","h3 tag",""
"passed","Thu Sep 23 22:49:27 EEST 2021","Thu Sep 23 22:49:31 EEST 2021","3700","","specs/find.text.out.of.tags.test.ts","","","","find an element with Welcome text",""
"passed","Thu Sep 23 22:49:35 EEST 2021","Thu Sep 23 22:49:39 EEST 2021","4198","","specs/visibility.buttons.test.ts","","","","must determine hidden buttons",""
"passed","Thu Sep 23 22:49:41 EEST 2021","Thu Sep 23 22:49:43 EEST 2021","1889","","specs/sample-app/ui/all.elements.visible.test.ts","On page is visible:","","","username input",""
"passed","Thu Sep 23 22:49:43 EEST 2021","Thu Sep 23 22:49:46 EEST 2021","2810","","specs/sample-app/ui/all.elements.visible.test.ts","On page is visible:","","","password input",""
"passed","Thu Sep 23 22:49:36 EEST 2021","Thu Sep 23 22:49:39 EEST 2021","3422","","specs/sample-app/ui/all.elements.visible.test.ts","On page is visible:","","","description",""
